id,title,publisher,url,type,section,published,reviewed,access
F1,Libra Internet Bank: AI-assisted test design,UiPath,https://www.uipath.com/resources/automation-case-studies/libra-bank-reduces-test-creation-time-with-uipath-test-cloud,Named customer / vendor case,Bringing AI-powered software testing to banking teams; Outcomes,,2026-09-07,Public full text
F2,Goldman Sachs: automated Java unit tests,Diffblue,https://www.diffblue.com/case-studies/goldman-sachs-complete-a-years-worth-of-java-unit-test-writing-overnight-with-diffblue-cover/,Named customer / vendor case,Results; Time spent writing unit tests and manual-effort footnote,,2026-09-07,Public full text
F3,DBS annual report 2024: CIO statement,DBS,https://www.dbs.com/annualreports/2024/cio-statement.html,Bank-authored operational report,Change management; JIRA Assist; AI-powered change risk scoring,2024 reporting year,2026-09-07,Public full text
F4,Fiserv: testing transformation,Tricentis,https://www.tricentis.com/case-studies/fiserv-testing-transformation-tricentis,Named customer / vendor case,Company overview; Embracing the future with AI; Result,,2026-09-07,Public full text
F5,Bank of Queensland: quality as a service,Tricentis,https://www.tricentis.com/case-studies/bank-of-queensland-delivers-quality-as-a-service,Named customer / vendor case,Results; Looking to the future,,2026-09-07,Public full text
F6,ANZ: empirical study of GitHub Copilot,"Chatterjee, Liu, Rowland and Hogarth",https://arxiv.org/abs/2402.05636v2,Bank-authored controlled coding experiment,"Sections 3, 4.6, 4.9 and 5; PDF pp. 4, 6–7, 11–13",2024-04-17,2026-09-07,Public full text
F7,Unnamed fintech provider: AI-led QE,TestingXperts,https://www.testingxperts.com/case-study/ai-led-qe-reduces-qa-cycle-effort-fintech/,Anonymous supplier case,Summary; AI-Led Test Design Transformation; Impact-Driven Test Prioritization,,2026-09-07,Public full text
F8,Software testing in financial services: Market Insights 2025,KPMG,https://assets.kpmg.com/content/dam/kpmgsites/uk/pdf/2025/05/market-insights-software-testing-in-financial-services.pdf.coredownload.inline.pdf,Consultancy synthesis,"Pages 10–13; used for context, not as an independent outcome study",2025,2026-09-07,Public full text
F9,Changing the developer productivity experiment design,METR,https://metr.org/blog/2026-02-24-uplift-update/,Independent research / methodological update,Selection effects; raw estimates and confidence intervals,2026-02-24,2026-09-07,Public full text
F10,What is Diffblue Cover?,Diffblue,https://cover-docs.diffblue.com/get-started/what-is-diffblue-cover,Product documentation,How it works: regression tests capture current behavior,,2026-09-07,Public full text
