id,title,url,type,finding,limit,published,reviewed
Q1,DORA: Test automation,https://dora.dev/capabilities/test-automation/,Research synthesis,"Reliable feedback, shared developer and tester responsibility, and incremental improvement of brownfield test suites.",Does not establish an AI productivity percentage.,2025-07-17,2026-09-07
Q2,DORA: Test data management,https://dora.dev/capabilities/test-data-management/,Research synthesis,On-demand test data and controlled state support independent and parallel test execution.,Data availability does not prove business correctness.,,2026-09-07
Q3,DORA: Continuous delivery,https://dora.dev/capabilities/continuous-delivery/,Research synthesis,"Delivery capability combines tests, deployment, data, observability and organizational practice.",CI installation alone is not continuous delivery.,,2026-09-07
Q4,Docker Compose,https://docs.docker.com/compose/,Product documentation,Compose defines and runs multi-container applications in development and test workflows.,Packaging does not reproduce every production dependency or operating condition.,,2026-09-07
Q5,Docker: Startup and shutdown order,https://docs.docker.com/compose/how-tos/startup-order/,Product documentation,Dependency order and explicit health conditions distinguish a running container from a ready service.,The application still needs domain-specific readiness and migration checks.,,2026-09-07
Q6,Testcontainers for Java,https://java.testcontainers.org/,Product documentation,Tests can use short-lived instances of real containerized dependencies.,"A containerized database is real software, but the test topology is still scoped.",,2026-09-07
Q7,Testcontainers: Runtime requirements,https://java.testcontainers.org/supported_docker_environment/,Product documentation,"The runner needs a compatible container runtime, connectivity and image access.",Alternative runtimes may need configuration and have feature differences.,,2026-09-07
Q8,WireMock: Stateful behaviour,https://wiremock.org/docs/stateful-behaviour/,Product documentation,Scenarios model changes in an HTTP substitute across requests.,State and reset rules must be reviewed against the actual provider.,,2026-09-07
Q9,WireMock: Simulating faults,https://wiremock.org/docs/simulating-faults/,Product documentation,Controlled delays and failure responses enable repeatable dependency fault tests.,Provider fidelity and actual timeout settings remain application-specific.,,2026-09-07
Q10,Pact: When to use contract testing,https://docs.pact.io/getting_started/what_is_pact_good_for,Product documentation,Consumer and provider contracts check interaction compatibility.,Provider verification does not establish downstream side effects or complete business correctness.,,2026-09-07
Q11,Kubernetes: Multi-tenancy,https://kubernetes.io/docs/concepts/security/multi-tenancy/,Product documentation,Namespace-based shared environments also need isolation configuration and resource controls.,An existing Kubernetes platform may be useful; Kubernetes is not required for the pilot.,,2026-09-07
Q12,Playwright: Docker,https://playwright.dev/docs/docker,Product documentation,Browser and system dependencies can be packaged for CI execution.,Match the project and image versions; browser execution does not establish native mobile coverage.,,2026-09-07
Q13,Appium: Drivers,https://appium.io/docs/en/latest/intro/drivers/,Product documentation,Mobile automation depends on platform-specific drivers and their prerequisites.,"A backend container does not supply the required device, OS, driver or signing setup.",,2026-09-07
