id,title,publisher,date,kind,url,takeaway,caveat,scope,access,document_url,reviewed
G01,Software engineering trends for 2025 and beyond,Gartner,2025-07-01,Forecast,https://www.gartner.com/en/newsroom/press-releases/2025-07-01-gartner-identifies-the-top-strategic-trends-in-software-engineering-for-2025-and-beyond,Forecasts 90% of enterprise software engineers using AI code assistants by 2028.,"A forecast about tool use, not a measured QE outcome or a savings estimate.",Industry,Public text,,2026-09-05
G02,How to Select an AI-Augmented Software Testing Platform,Gartner,2026-02-03,Analyst perspective,https://www.gartner.com/en/documents/7395930,The public abstract frames platform selection around quality and business value beyond test automation.,"Only the abstract was reviewed; detailed criteria, findings and vendor assessments require licensed access.",Industry,Public abstract; full report gated,,2026-09-05
G03,Journey Guide to Improving Software Testing in the AI Age,Gartner,2026-04-02,Analyst perspective,https://www.gartner.com/en/documents/7678461,The public summary positions continuous quality as a response to more complex AI-era delivery.,The full guide was not available for review. No proprietary maturity model is reproduced.,Industry,Public abstract; full report gated,,2026-09-05
G04,Smaller software engineering teams by 2029,Gartner,2026-07-07,Forecast,https://www.gartner.com/en/newsroom/press-releases/2026-07-07-gartner-predicts-60-percent-of-organizations-will-adopt-smaller-software-engineering-teams-by-2029,Forecasts 60% of organizations adopting smaller engineering teams at scale by 2029; emphasizes team redesign and platform enablement.,Not evidence for reducing QE headcount; the release distinguishes restructuring from cost optimization.,Industry,Public text,,2026-09-05
M01,Unlocking the value of AI in software development,McKinsey,2025-11-03,Survey,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/unlocking-the-value-of-ai-in-software-development,"Surveyed nearly 300 leaders; 100 assessed impact. The top outcome quintile reported stronger productivity, quality and speed.",Self-reported outcomes and selected top performers; no causal estimate and no representative bank savings rate.,Industry,Public text,,2026-09-05
M02,The AI revolution in software development,McKinsey,2026-04-01,Case study,https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/the-ai-revolution-in-software-development,Describes agent-based delivery and an unnamed global bank implementation as a strategic direction.,Consultancy-reported case; its speed and cost claims lack a public independent counterfactual. Do not transfer them into a business case.,Industry,Public text,https://www.mckinsey.com/~/media/mckinsey/business%20functions/tech%20and%20ai/our%20insights/the%20ai%20revolution%20in%20software%20development/the-ai-revolution-in-software-development_final.pdf,2026-09-05
W01,World Quality Report 2025–26: public findings,Capgemini / Sogeti / OpenText,2025-11-13,Survey,https://www.capgemini.com/ch-en/insights/research-library/world-quality-report-2025-26/,"Reports widespread experimentation, limited enterprise scale and material privacy, integration, reliability and skills barriers.","Vendor-sponsored survey of over 2,000 executives in 22 countries and 10 sectors. Question-specific sample sizes are not in the public release.",Industry,Public release; full report registration,https://www.capgemini.com/fi-en/wp-content/uploads/sites/26/2025/11/2025_11_13_World_Quality_Report_2025_.pdf,2026-09-05
D01,State of AI-assisted Software Development 2025,DORA / Google Cloud,2025-09-23,Survey,https://dora.dev/research/2025/dora-report/,AI adoption interacts with the surrounding engineering system; organizational foundations matter for delivery outcomes.,Observational research and reported associations do not isolate the effect of a tool. Partner-sponsored research.,Industry,Public text,https://www.thoughtworks.com/content/dam/thoughtworks/documents/report/tw_report_state_of_ai_assisted_software_development_2025.pdf,2026-09-05
D02,Balancing AI tensions: moving from AI adoption to effective software development,DORA,2026-03-10,Qualitative study,https://dora.dev/insights/balancing-ai-tensions/,"Analysis of 1,110 open-ended Google engineer responses highlights verification work, context limitations and review friction.",One-company qualitative sample from Q3 2025; prompts may have focused respondents on code generation.,Industry,Public text,,2026-09-05
E01,Early-2025 AI on experienced open-source developer productivity,METR,2025-07-10,Randomized study,https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/,16 developers and 246 tasks: access to early-2025 AI increased completion time by 19% (95% CI: +2% to +39%).,"Experienced developers on familiar repositories; narrow task and tool setting, not a claim about all developers or 2026 agents.",Delivery evidence,Public text,https://metr.org/Early_2025_AI_Experienced_OS_Devs_Study-paper.pdf,2026-09-05
